"artist","title","times_played"
Feist,I Feel It All,14
Mother Mother,Body Of Years,14
Arcade Fire,Reflektor,14
Red Hot Chili Peppers,Dani California,14
Metric,Stadium Love,14
Lemonheads,Mrs. Robinson,14
Dear Rouge,Modern Shakedown,14
Arkells,Come To Light,14
Half Moon Run,Call Me In The Afternoon,14
Radiohead,Optimistic,14
Arcade Fire,Creature Comfort,14
Metric,Dead Disco,14
Porno For Pyros,Pets,14
Milky Chance,Stolen Dance,13
Red Hot Chili Peppers,Otherside,13
The Cure,Just Like Heaven,13
Japandroids,Near to the Wild Heart of Life,13
Cranberries,Dreams,13
July Talk,Guns & Ammunition,13
The Zolas,Molotov Girls,13
The Zolas,Energy Czar,13
Pulp,Common People,13
Metric,Monster Hospital,13
Mother Mother,Bit By Bit,13
The Cure,Love Song,13
R.E.M.,NIghtswimming,13
Wheatus,Teenage Dirtbag,13
Mother Mother,Infinitesimal,13
Cake,The Distance,13
Blur,Girls And Boys,13
R.E.M.,Orange Crush,13
Said The Whale,Return To Me,13
Joy Division,Love Will tear Us Apart,13
Queens Of The Stone Age,Make It Wit Chu,13
Metric,Combat Baby,13
Mother Mother,Get Out The Way,13
The Blue Stones,Let It Ride,13
Pearl Jam,Better Man,13
Mother Mother,Modern Love,13
Black Pistol Fire,Lost Cause,13
Smashing Pumpkins,Tonight Tonight,13
Beck,Where It's At,13
The Elwins,"Hey! Ya, You",12
Garbage,I Think I'm Paranoid,12
Dishwalla,Counting Blue Cars,12
Harvey Danger,Flagpole Sita,12
Tame Impala,Let It Happen,12
Third Eye Blind,Semi-Charmed Life,12
Depeche Mode,Personal Jesus,12
Arkells,Leather Jacket,12
Pixies,Where Is My Mind,12
Arkells,Ballad of Hugo Chavez,12
Breeders,Cannonball,12
Ben Folds Five,Brick,12
City And Colour,Coming Home,12
Soundgarden,Fell On Black Days,12
Coldplay,Fix You,12
The Blue Stones,Shakin' Off The Rust,12
Smashing Pumpkins,Disarm,12
Red Hot Chili Peppers,Snow (Hey Oh),12
Foo Fighters,My Hero,12
The Cure,In Between Days,12
Sublime,Santaria,12
The Lumineers,Ophelia,12
The New Pornographers,High Ticket Attractions,12
Arcade Fire,Everything Now,12
Cold War Kids,First,12
Metric,Youth Without Youth,12
Red Hot Chili Peppers,Can't Stop,11
MONOWHALES,RWLYD (Really Wanna Let You Down),11
